Symbol	h1u0auto	h1u10auto	h1u100auto	h1u500auto
symb3master_1	9.98	10.59	9.96	10.80
symb3master_2	6.26	6.80	7.68	7.15
symb3master_3	11.69	10.91	10.81	8.90
symb3master_4	72.49	75.46	76.30	71.10
symb3master_5	8.23	8.77	9.12	8.54
symb3master_6	27.40	30.35	30.06	27.44
symb3master_7	15.11	9.21	9.00	5.38
symb3master_8	6.03	6.19	6.59	6.51
symb3master_9	88.57	64.47	72.47	46.50
symb3master_10	88.26	58.77	70.10	43.72
symb3master_11	125.45	77.00	93.22	57.34
symb3master_12	62.31	55.20	49.87	48.10
symb3master_13	8.45	9.10	9.02	9.67
symb3master_14	188.13	192.16	182.74	194.09
symb3master_15	754.30	798.35	758.23	781.77
symb3master_16	25.85	26.00	28.36	26.92
symb3master_17	21.55	22.53	21.44	25.50
symb3master_18	6.10	6.83	6.57	6.65
symb3master_19	29.90	27.77	24.91	22.58
symb3master_20	34.61	31.36	32.79	31.47
symb3master_21	20.62	21.58	20.41	20.96
symb3master_22	75.96	78.68	76.09	85.23
symb3master_23	135.72	147.20	145.57	168.15
symb3master_24	84.03	89.60	83.43	106.02
symb3master_25	166.09	170.53	167.75	156.30
symb3master_26	29.50	34.31	33.60	34.91
symb3master_27	11.32	9.91	11.77	10.99
symb3master_28	18.69	18.39	17.99	19.20
symb3master_29	13.22	15.53	12.13	11.13
symb3master_30	18.77	18.00	18.71	21.58
symb3master_31	69.82	73.34	66.31	93.57
symb3master_32	30.77	33.29	36.94	43.12
symb3master_33	114.31	123.46	124.13	138.45
symb3master_34	11.19	11.23	11.31	12.05
symb3master_35	1.91	1.79	1.56	1.76
symb3master_36	0.77	0.80	0.80	0.78
symb3master_37	17.26	22.86	23.84	22.07
symb3master_38	4.12	4.01	4.03	4.86
symb3master_39	8.00	7.91	8.45	7.60
symb3master_40	21.22	18.39	18.07	19.21
symb3master_41	5.07	4.67	4.65	5.33
symb3master_42	20.70	21.04	21.23	21.26
symb3master_43	20.63	23.74	23.05	22.78
symb3master_44	12.57	12.57	14.15	11.56
symb3master_45	37.96	39.99	40.88	41.51
symb3master_46	46.59	46.87	40.73	42.06
symb3master_47	24.57	24.56	26.22	27.61
symb3master_48	37.29	40.02	39.59	49.60
symb3master_49	31.33	31.20	29.19	28.37
symb3master_50	7.65	8.75	9.50	8.85
symb3master_51	18.43	18.77	19.71	20.51
symb3master_52	71.25	73.82	71.40	67.91
symb3master_53	33.13	35.00	34.39	31.35
symb3master_54	5.94	6.65	5.57	6.22
symb3master_55	29.10	22.30	25.28	18.26
symb3master_56	95.88	96.90	98.77	91.13
symb3master_57	14.37	13.74	14.61	14.19
symb3master_58	49.58	48.29	50.91	43.99
symb3master_60	64.47	65.48	66.03	70.10
symb3master_61	216.94	187.58	189.84	172.21
symb3master_62	15.63	16.69	15.84	16.88
symb3master_63	3.91	4.97	5.33	5.44
symb3master_64	15.21	14.91	16.13	15.92
symb3master_65	4.69	5.08	4.97	4.55
symb3master_66	19.70	19.32	18.13	21.57
symb3master_67	12.47	14.06	14.46	15.13
symb3master_68	0.76	1.01	0.46	1.09
symb3master_69	0.55	0.59	0.23	0.63
symb3master_70	17.97	18.79	18.32	15.99
symb3master_71	5.18	5.12	5.57	5.22
symb3master_72	7.24	7.84	7.67	7.70
symb3master_73	47.72	43.92	48.70	41.48
symb3master_74	157.15	152.66	157.15	155.72
symb3master_75	12.97	13.24	12.64	12.04
symb3master_76	8.72	9.01	8.65	8.80
symb3master_77	21.49	23.91	24.45	27.18
symb3master_78	4.26	4.18	5.03	3.45
symb3master_79	15.70	17.28	17.65	16.50
symb3master_80	31.82	36.17	35.94	37.02
symb3master_81	13.51	14.97	14.94	17.05
symb3master_82	41.51	36.26	33.71	32.06
symb3master_83	8.66	10.29	9.24	9.62
symb3master_84	4.82	5.06	4.73	5.88
symb3master_85	5.11	6.01	5.97	5.84
symb3master_86	22.22	23.06	23.70	19.60
symb3master_87	134.15	120.36	132.23	127.04
symb3master_88	107.50	72.73	77.43	72.05
symb3master_89	172.44	392.72	241.99	187.08
symb3master_90	16.96	17.38	17.24	20.02
symb3master_91	165.54	178.83	168.94	162.70
symb3master_92	38.70	37.71	33.34	47.06
symb3master_93	25.61	30.10	29.41	31.77
symb3master_94	2.00	2.40	2.86	2.55
symb3master_95	14.36	15.46	14.30	16.08
symb3master_96	11.89	12.75	14.01	12.51
symb3master_97	16.41	18.13	18.27	19.60
symb3master_98	12.62	11.66	13.53	9.61
symb3master_99	50.30	56.13	60.45	59.05
symb3master_100	31.35	33.85	33.39	35.58
symb3master_101	19.12	19.26	20.21	19.89
symb3master_102	6.06	6.04	5.71	3.65
symb3master_103	98.93	97.65	104.35	104.45
symb3master_104	36.72	35.53	34.61	32.87
symb3master_105	81.12	82.14	75.46	80.83
symb3master_106	41.47	40.52	37.28	34.53
symb3master_107	42.31	43.56	42.18	44.56
symb3master_108	42.59	38.77	33.99	37.12
symb3master_109	33.93	33.31	34.14	36.83
symb3master_110	17.60	17.65	17.45	16.98
symb3master_111	20.14	20.60	19.90	23.29
symb3master_112	0.00	0.00	0.00	0.00
