Symbol	h24u0auto	h24u10auto	h24u100auto	h24u500auto
symb3master_1	8.62	10.56	9.78	9.64
symb3master_2	6.43	6.51	6.89	6.04
symb3master_3	10.20	10.97	12.20	10.92
symb3master_4	73.74	74.39	77.62	70.40
symb3master_5	8.57	9.60	9.45	8.66
symb3master_6	26.45	31.28	29.30	32.39
symb3master_7	8.45	4.84	6.63	7.15
symb3master_8	5.67	6.66	5.77	6.51
symb3master_9	51.68	36.24	31.85	871.17
symb3master_10	44.97	30.50	26.87	634.67
symb3master_11	55.61	44.56	31.41	730.69
symb3master_12	55.77	59.65	55.27	58.27
symb3master_13	9.77	9.12	9.22	10.61
symb3master_14	245.32	218.87	217.24	221.85
symb3master_15	869.27	756.44	735.72	754.56
symb3master_16	22.24	29.66	31.10	30.18
symb3master_17	21.98	26.13	22.52	23.53
symb3master_18	7.53	5.89	5.30	5.72
symb3master_19	29.45	23.17	27.54	22.40
symb3master_20	32.47	33.54	36.13	31.25
symb3master_21	20.70	21.29	19.79	19.14
symb3master_22	84.53	80.30	80.73	86.87
symb3master_23	155.02	174.79	163.90	182.29
symb3master_24	99.96	121.99	99.72	127.84
symb3master_25	145.17	160.46	151.68	151.87
symb3master_26	34.54	34.29	36.01	41.98
symb3master_27	10.08	12.70	10.77	9.24
symb3master_28	15.86	21.93	21.01	19.35
symb3master_29	15.83	11.11	11.16	12.73
symb3master_30	21.00	22.35	21.27	20.67
symb3master_31	91.69	107.81	95.37	118.07
symb3master_32	35.66	45.89	41.82	46.37
symb3master_33	114.00	120.50	120.01	129.88
symb3master_34	12.42	10.04	9.40	9.79
symb3master_35	1.44	1.61	1.88	1.51
symb3master_36	0.58	0.61	0.64	0.96
symb3master_37	22.21	21.69	25.95	19.23
symb3master_38	4.82	5.57	5.27	6.35
symb3master_39	8.81	7.35	8.21	6.99
symb3master_40	16.71	18.43	17.95	16.12
symb3master_41	4.99	5.18	5.11	4.34
symb3master_42	20.17	18.70	19.85	15.86
symb3master_43	18.84	22.05	21.91	21.78
symb3master_44	16.30	14.35	15.19	12.67
symb3master_45	38.52	40.32	42.33	41.19
symb3master_46	43.28	45.89	43.76	39.12
symb3master_47	26.57	29.00	23.79	23.18
symb3master_48	45.40	55.47	48.92	51.53
symb3master_49	30.98	28.55	31.34	29.46
symb3master_50	8.99	8.11	8.27	8.98
symb3master_51	18.89	19.69	19.77	19.12
symb3master_52	65.86	70.49	70.30	66.41
symb3master_53	34.45	34.36	36.19	35.98
symb3master_54	6.30	6.55	6.65	6.07
symb3master_55	16.22	17.76	22.38	18.20
symb3master_56	101.01	94.59	108.78	98.11
symb3master_57	16.12	15.96	16.56	14.93
symb3master_58	50.09	41.19	48.81	42.48
symb3master_60	70.74	74.31	75.35	75.94
symb3master_61	183.87	193.93	209.64	219.43
symb3master_62	17.00	15.24	15.73	14.91
symb3master_63	3.62	4.79	5.53	5.71
symb3master_64	13.53	15.59	12.02	12.43
symb3master_65	5.13	4.07	3.76	4.09
symb3master_66	20.14	21.88	20.38	21.70
symb3master_67	13.95	15.25	15.44	14.21
symb3master_68	1.07	1.58	1.75	1.40
symb3master_69	0.86	0.97	0.66	0.95
symb3master_70	17.25	14.36	16.24	13.27
symb3master_71	5.96	5.68	5.73	4.94
symb3master_72	8.34	7.23	8.14	7.64
