Symbol	h24u0hetero	h24u10hetero	h24u100hetero	h24u500hetero
symb3master_1	11.32	12.18	12.36	12.06
symb3master_2	6.21	5.73	5.75	5.82
symb3master_3	10.26	11.59	11.42	12.10
symb3master_4	80.76	80.21	83.85	80.65
symb3master_5	7.88	8.90	8.56	8.86
symb3master_6	25.57	34.16	33.85	34.83
symb3master_7	9.86	13.07	9.23	7.08
symb3master_8	7.31	7.42	7.08	7.64
symb3master_9	117.27	96.22	91.69	87.81
symb3master_10	116.48	111.35	95.21	83.87
symb3master_11	209.66	213.96	162.44	128.69
symb3master_12	47.28	54.82	58.20	45.03
symb3master_13	9.91	8.41	7.69	10.07
symb3master_14	275.99	244.86	251.29	249.56
symb3master_15	857.63	697.91	740.76	760.22
symb3master_16	20.04	27.17	28.31	25.77
symb3master_17	23.00	27.51	24.63	25.95
symb3master_18	5.97	5.51	5.69	5.51
symb3master_19	29.60	21.53	23.55	26.40
symb3master_20	38.73	39.31	43.28	40.50
symb3master_21	19.12	22.26	19.69	19.77
symb3master_22	40.92	39.17	43.49	45.70
symb3master_23	85.04	95.82	97.60	100.17
symb3master_24	63.29	77.38	81.49	74.35
symb3master_25	117.91	154.14	152.42	123.39
symb3master_26	36.45	37.17	36.46	42.16
symb3master_27	14.42	14.01	15.76	14.46
symb3master_28	11.90	21.79	21.53	18.26
symb3master_29	14.34	11.60	10.15	12.74
symb3master_30	17.57	19.65	18.31	18.83
symb3master_31	75.75	106.84	104.78	94.94
symb3master_32	28.52	43.74	33.93	36.91
symb3master_33	93.12	105.24	105.11	102.30
symb3master_34	12.57	12.92	12.93	13.02
symb3master_35	1.21	1.44	1.12	1.30
symb3master_36	0.48	0.64	0.69	0.60
symb3master_37	19.95	16.14	16.66	18.39
symb3master_38	4.07	5.00	4.84	4.98
symb3master_39	9.14	8.48	7.65	8.21
symb3master_40	18.34	20.02	21.05	20.57
symb3master_41	5.09	5.70	5.32	4.98
symb3master_42	22.61	23.76	21.35	23.03
symb3master_43	20.22	21.93	21.51	24.29
symb3master_44	20.70	17.17	17.99	18.99
symb3master_45	41.79	41.55	47.22	44.04
symb3master_46	46.04	51.34	52.26	48.12
symb3master_47	36.39	37.45	35.48	32.92
symb3master_48	41.35	56.12	52.13	48.18
symb3master_49	32.91	30.44	29.40	31.64
symb3master_50	9.33	8.95	9.21	11.37
symb3master_51	17.69	20.50	20.27	20.76
symb3master_52	63.46	70.76	69.44	62.72
symb3master_53	38.68	37.05	39.23	37.53
symb3master_54	6.57	6.49	6.06	6.14
symb3master_55	17.18	15.35	17.64	17.38
symb3master_56	94.44	78.68	82.85	87.84
symb3master_57	16.88	13.50	16.72	17.90
symb3master_58	72.27	51.66	57.61	66.52
symb3master_60	71.20	77.65	75.95	73.30
symb3master_61	208.39	230.56	236.73	204.81
symb3master_62	12.84	12.72	13.88	13.79
symb3master_63	3.62	3.61	4.08	4.85
symb3master_64	7.10	14.36	11.00	9.62
symb3master_65	5.68	4.10	3.91	4.36
symb3master_66	15.64	19.13	17.85	17.07
symb3master_67	14.81	15.58	15.30	15.35
symb3master_68	0.63	1.11	0.89	0.97
symb3master_69	0.46	0.82	1.05	0.65
symb3master_70	17.63	14.66	13.09	17.75
symb3master_71	6.71	6.45	5.49	5.71
symb3master_72	9.72	9.19	8.74	9.57
symb3master_73	41.48	41.29	45.67	42.92
symb3master_74	173.61	163.54	173.58	174.31
symb3master_75	14.97	12.62	12.01	14.60
symb3master_76	8.92	5.66	5.87	6.38
symb3master_77	28.47	23.89	23.81	27.16
symb3master_78	5.14	3.11	3.53	3.90
symb3master_79	16.10	15.00	14.29	14.94
symb3master_80	29.46	27.79	25.62	28.28
symb3master_81	19.46	19.24	18.09	18.47
symb3master_82	37.61	34.02	37.92	34.73
symb3master_83	9.21	7.58	7.77	9.10
symb3master_84	5.29	5.24	5.54	5.39
symb3master_85	6.96	5.88	6.15	7.99
symb3master_86	29.37	25.39	21.74	20.12
symb3master_87	152.01	157.41	160.41	138.10
symb3master_88	81.09	67.70	75.84	71.25
symb3master_89	746.18	549.87	499.75	466.57
symb3master_90	14.98	19.97	20.22	17.42
symb3master_91	267.89	245.21	244.00	242.33
symb3master_92	39.82	50.98	53.19	44.69
symb3master_93	35.09	30.56	31.66	31.73
symb3master_94	2.85	2.32	2.22	2.55
symb3master_95	16.19	21.20	21.05	17.90
symb3master_96	12.98	11.76	12.17	12.53
symb3master_97	19.04	21.45	19.25	20.33
symb3master_98	13.97	9.94	11.03	12.95
symb3master_99	79.96	72.19	76.88	79.51
symb3master_100	23.16	29.63	28.56	24.51
symb3master_101	23.15	18.02	18.26	19.10
symb3master_102	7.81	4.90	5.51	6.13
symb3master_103	108.08	110.77	116.65	112.88
symb3master_104	46.02	49.11	48.36	36.28
symb3master_105	61.91	50.11	59.05	46.39
symb3master_106	27.70	27.65	26.39	26.99
symb3master_107	34.89	34.20	36.59	34.46
symb3master_108	39.30	45.23	43.82	39.75
symb3master_109	33.18	40.11	38.98	37.70
symb3master_110	13.05	12.72	13.35	14.97
symb3master_111	16.47	20.90	21.26	24.65
symb3master_112	0.09	0.09	0.00	0.00
symb3master_113	10.47	10.15	12.79	14.98
symb3master_114	14.99	23.21	24.09	19.50
symb3master_115	31.70	28.03	28.69	31.78
symb3master_116	22.18	20.31	22.53	21.35
symb3master_117	17.06	13.87	14.78	18.21
symb3master_118	95.02	105.71	104.94	96.80
symb3master_119	17.24	9.91	11.04	12.09
symb3master_120	7.77	7.35	6.80	8.28
symb3master_121	19.72	20.46	18.39	17.86
symb3master_122	16.98	16.89	15.79	16.31
symb3master_123	18.25	18.56	20.02	18.13
symb3master_124	8.16	8.63	8.60	8.64
symb3master_125	22.80	19.48	19.40	20.49
symb3master_126	44.63	49.99	53.94	51.45
symb3master_127	9.42	8.52	9.65	9.87
symb3master_128	19.77	20.90	20.01	20.68
symb3master_129	38.83	37.68	39.23	41.98
symb3master_130	36.67	32.34	32.34	34.41
symb3master_131	16.45	21.37	21.05	16.44
symb3master_132	18.45	17.40	16.32	19.06
symb3master_133	29.78	38.61	36.55	33.59
symb3master_134	14.37	20.87	20.53	19.97
symb3master_135	60.47	76.76	74.48	70.29
symb3master_136	160.43	144.25	146.62	145.57
symb3master_137	69.08	63.76	64.61	60.73
symb3master_138	24.76	25.88	30.40	28.67
symb3master_139	46.18	52.82	60.68	60.77
symb3master_140	11.41	11.52	10.37	12.56
symb3master_141	11.70	9.01	9.44	10.49
symb3master_142	37.92	35.68	34.30	36.65
symb3master_143	9.15	9.54	10.90	9.23
symb3master_144	14.96	19.80	18.52	17.22
symb3master_145	30.50	25.07	25.05	28.43
symb3master_146	9.36	12.88	12.72	11.49
symb3master_147	15.76	25.73	29.49	25.43
symb3master_148	28.45	35.17	35.75	34.57
symb3master_149	30.51	25.41	23.16	24.36
symb3master_150	9.42	9.83	10.34	10.09
symb3master_151	12.31	16.75	16.90	16.98
symb3master_152	14.35	11.09	9.46	9.62
symb3master_153	17.75	24.40	24.96	21.46
symb3master_154	20.05	17.51	14.18	10.81
symb3master_155	28.24	24.77	23.53	26.18
symb3master_156	8.21	11.07	10.13	10.73
symb3master_157	27.90	29.29	28.48	31.90
symb3master_158	61.37	59.32	61.34	57.20
symb3master_159	30.97	30.63	34.78	30.83
symb3master_160	3.13	2.87	3.22	3.22
symb3master_161	25.98	18.79	19.00	21.43
symb3master_162	4.46	2.52	3.03	2.86
symb3master_163	7.28	6.49	6.05	6.31
symb3master_164	8.58	9.26	8.71	9.81
symb3master_165	26.21	25.04	22.93	26.01
symb3master_166	121.37	100.52	109.80	116.16
symb3master_167	5.74	5.08	5.06	5.62
symb3master_168	9.48	12.81	12.32	10.97
symb3master_169	58.09	68.19	69.53	63.25
symb3master_170	17.85	13.98	14.05	16.27
symb3master_171	4.39	2.95	5.06	7.16
symb3master_172	32.45	48.20	47.24	34.44
symb3master_173	7.96	5.22	5.54	5.52
symb3master_174	4.09	2.43	3.26	4.28
symb3master_175	5.30	4.27	5.17	4.83
symb3master_176	43.50	42.90	38.58	40.45
symb3master_177	12.75	12.65	18.26	16.15
symb3master_178	20.69	25.19	18.85	17.06
symb3master_179	24.92	32.12	31.21	26.68
symb3master_180	17.39	14.87	16.70	17.56
symb3master_181	19.88	13.04	12.95	13.40
symb3master_182	51.23	46.53	46.27	48.69
symb3master_183	13.47	14.33	13.59	13.39
symb3master_184	17.67	16.12	16.66	15.90
symb3master_185	10.14	8.36	10.62	10.70
symb3master_186	32.66	33.98	35.62	36.60
symb3master_187	18.93	26.38	23.26	22.35
symb3master_188	13.85	11.11	12.38	13.41
symb3master_189	12.95	10.26	10.50	11.51
symb3master_190	47.10	39.86	38.36	44.90
symb3master_191	17.67	22.26	21.68	20.20
symb3master_192	19.28	20.37	22.43	20.95
symb3master_193	21.26	23.85	24.03	24.68
symb3master_194	18.33	17.18	18.71	20.26
symb3master_195	22.67	26.68	23.84	24.50
symb3master_196	25.30	24.23	27.30	29.41
symb3master_197	9.66	14.71	13.77	13.61
symb3master_198	35.49	36.43	34.05	39.41
symb3master_199	4.09	4.13	4.12	4.94
symb3master_200	52.03	49.95	51.19	54.05
symb3master_201	7.23	6.23	6.77	7.55
symb3master_202	29.84	37.46	33.66	30.97
symb3master_203	20.13	19.00	17.81	18.71
symb3master_204	23.62	20.88	17.34	20.66
symb3master_205	33.61	33.10	32.62	33.28
symb3master_206	21.57	20.86	21.72	25.92
symb3master_207	47.67	50.43	50.21	51.06
symb3master_208	11.63	11.17	12.72	15.98
symb3master_209	39.97	33.49	36.48	38.83
symb3master_210	11.19	10.77	10.31	8.25
symb3master_211	15.80	10.30	10.84	12.49
symb3master_212	22.12	26.76	24.28	23.35
symb3master_213	11.76	15.06	12.75	12.69
symb3master_214	40.57	40.38	39.86	43.33
symb3master_215	7.47	8.00	9.28	9.23
symb3master_216	32.94	31.08	28.34	31.04
symb3master_217	8.77	10.54	10.59	9.99
symb3master_218	13.54	18.65	19.22	17.82
symb3master_219	18.07	17.66	15.67	15.17
symb3master_220	18.10	20.54	19.16	18.79
symb3master_221	17.54	15.82	17.81	18.57
symb3master_222	45.43	49.26	49.17	47.01
symb3master_223	7.49	7.27	7.22	8.66
symb3master_224	10.55	9.55	9.46	11.03
symb3master_225	4.28	6.01	4.31	3.34
symb3master_226	165.27	148.63	155.79	162.36
symb3master_227	14.02	14.78	14.86	15.74
symb3master_228	34.11	48.23	45.14	38.15
symb3master_229	10.04	7.94	7.99	9.61
symb3master_230	6.72	7.57	7.65	7.78
symb3master_231	17.41	22.29	22.05	22.12
symb3master_232	6.92	5.93	7.11	6.36
symb3master_233	20.57	35.88	35.00	28.33
symb3master_234	20.85	22.17	17.56	21.37
symb3master_235	6.34	5.94	5.73	6.03
symb3master_236	99.44	105.20	104.16	93.00
symb3master_237	8.58	10.58	11.42	12.17
symb3master_238	685.32	514.23	389.19	429.88
symb3master_239	4.63	5.17	5.09	5.71
symb3master_240	10.96	12.96	11.88	9.47
symb3master_241	8.37	7.02	6.23	7.73
symb3master_242	8.33	4.11	6.88	11.46
symb3master_243	16.74	15.50	14.24	12.90
symb3master_244	2.68	2.80	2.70	2.81
symb3master_245	28.57	33.86	33.94	38.33
symb3master_246	3.39	6.48	6.58	5.89
symb3master_247	40.82	47.77	49.05	42.41
symb3master_248	17.25	13.30	13.30	15.90
symb3master_249	25.71	29.45	27.07	20.90
symb3master_250	48.43	45.39	28.32	25.95
symb3master_251	276.27	244.18	253.96	268.22
symb3master_252	16.79	24.09	25.07	19.90
symb3master_253	29.58	32.64	34.50	33.24
symb3master_254	27.91	27.58	27.50	28.91
symb3master_255	0.92	0.86	0.97	1.02
symb3master_256	18.39	23.44	22.96	22.16
symb3master_257	39.30	33.00	33.46	34.67
symb3master_258	5.45	8.30	7.83	7.80
symb3master_259	11.34	13.20	15.06	13.89
symb3master_260	19.68	24.30	23.30	20.89
symb3master_261	23.33	17.86	19.22	23.17
symb3master_262	7.22	7.80	7.58	7.55
symb3master_263	17.77	14.68	15.81	18.13
symb3master_264	14.18	13.62	15.03	13.62
symb3master_265	20.05	27.03	24.49	24.27
symb3master_266	14.80	10.33	12.14	14.55
symb3master_267	30.65	39.85	33.61	29.33
symb3master_268	51.49	43.02	43.53	49.57
symb3master_269	64.81	77.50	78.11	74.47
symb3master_270	27.25	22.50	20.13	21.41
symb3master_271	11.99	14.56	15.64	13.45
symb3master_272	27.40	28.84	28.42	24.85
symb3master_273	16.40	18.35	16.51	16.53
symb3master_274	11.89	16.77	14.06	13.72
symb3master_275	10.22	10.76	11.98	11.03
symb3master_276	73.38	67.72	74.18	73.54
symb3master_277	0.60	0.37	0.68	0.95
symb3master_278	11.42	12.59	11.85	11.48
symb3master_279	1.24	1.65	1.92	2.54
symb3master_280	0.09	0.10	0.20	0.09
symb3master_281	0.76	1.37	1.76	1.50
symb3master_282	35.25	40.60	41.10	40.31
symb3master_283	19.54	24.20	25.07	24.22
symb3master_284	44.67	39.64	40.69	40.27
symb3master_285	6.58	9.01	7.81	6.50
symb3master_286	20.43	22.36	20.75	18.44
symb3master_288	463.97	387.05	402.69	435.79
symb3master_289	11.06	7.33	8.36	8.65
symb3master_290	14.56	11.80	11.42	11.20
symb3master_291	20.22	18.37	19.37	22.81
symb3master_292	5.31	4.46	4.28	5.04
symb3master_293	6.88	6.64	6.11	8.06
symb3master_294	7.61	7.29	7.84	8.03
symb3master_295	11.01	9.90	7.87	5.87
symb3master_296	17.80	23.39	21.31	20.06
symb3master_297	3.35	3.61	2.68	3.56
symb3master_298	93.64	112.20	99.85	87.82
symb3master_299	0.16	0.35	0.43	0.00
symb3master_300	10.25	13.52	12.65	10.73
symb3master_301	14.16	10.00	11.54	13.53
symb3master_302	30.25	39.14	37.71	34.31
symb3master_303	7.37	7.66	8.41	8.51
symb3master_304	7.69	5.73	5.55	6.04
symb3master_305	56.11	60.24	61.15	62.08
symb3master_306	5.98	4.52	5.71	6.54
symb3master_307	6.19	4.91	5.05	5.61
symb3master_308	52.88	62.25	53.26	34.68
symb3master_309	66.64	65.14	63.16	63.84
symb3master_310	283.30	223.56	236.64	261.24
symb3master_311	41.81	40.64	45.62	42.49
symb3master_312	11.68	12.93	12.14	11.68
symb3master_313	15.30	9.91	9.92	11.12
symb3master_314	18.24	21.08	18.41	20.54
symb3master_315	19.53	18.93	19.84	19.67
symb3master_316	29.01	27.17	25.30	25.36
symb3master_317	21.80	18.32	18.97	23.93
symb3master_318	7.90	6.07	6.16	6.89
symb3master_319	14.50	15.78	13.59	14.86
symb3master_320	9.93	7.23	7.44	8.42
symb3master_321	6.79	5.21	5.44	7.25
symb3master_322	28.38	32.59	26.74	17.82
symb3master_323	7.11	8.99	8.60	9.01
symb3master_324	27.70	28.86	23.67	20.25
symb3master_325	58.54	62.58	71.55	59.10
symb3master_326	320.65	313.90	318.65	279.00
