"1","Chlamydomonas reinhardtii","chlamydomonas_reinhardtii","chlamydomonas_reinhardtii.fasta","chlamydomonas_reinhardtii","3055","A collection of sequences from several sources, including GenBank, RefSeq, TPA and PDB. ","Nucleotide","24522","http://www.ncbi.nlm.nih.gov/nuccore/?term=txid3055[Organism:exp]","chlamydomonas.jpg","","2011-10-14 23:45:12.881856","2011-10-14 23:45:12.881856"
"2","symb1.2 assembly","symb1_2","symb1.2.fa","Symbiodinium","2949","Second assembly of Illumina RNA-Seq data","Illumina RNA-Seq","86684","","symbiodinium.jpg","","2011-10-17 19:35:59.277560","2011-10-17 19:35:59.277560"
"3","kb8 assembly","kb82","kb8_assembly2.fasta","Symbiodinium","2949","Symbiodinium assembly- Waiting for Jesse to provide more information","RNA-Seq","72152","http://medinalab.org/zoox/","symbiodinium.jpg","","2011-10-17 20:13:56.832314","2011-10-17 20:16:39.672291"
"4","mf105 assembly","mf105","mf105_assembly.fasta","Symbiodinum","2949","Symbiodinium assembly- Waiting for Jesse to provide more information","RNA-Seq","76284","http://medinalab.org/zoox/","symbiodinium.jpg","","2011-10-17 20:23:27.346680","2011-10-17 20:23:27.346680"
"5","Aiptasia pallida","aiptasia_pallida","aiptasia_pallida.fasta","Aiptasia pallida","12923"," A collection of sequences from several sources, including GenBank, RefSeq, TPA, PDB, and short single-read transcript sequences from GenBank.","Nucleotide, EST","10304","http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=12923","aiptasia.jpg","","2011-10-17 20:49:46.339710","2011-10-17 20:49:46.339710"
"6","Simbiodinium","symbiodinium","symbiodinium.fasta","Symbiodinium","2949","A collection of sequences from several sources, including GenBank, RefSeq, TPA, PDB, and short single-read transcript sequences from GenBank.","Nucleotide, EST","13043","http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2949&lvl=3&lin=f&keep=1&srchmode=1&unlock","symbiodinium.jpg","","2011-10-17 21:05:12.769715","2011-10-17 21:56:36.935034"
"7","Helicosporidium","helicosporidium","helicosporidium.fasta","Helicosporidium","145474","A collection of sequences from several sources, including GenBank, RefSeq, TPA, PDB, and short single-read transcript sequences from GenBank.","Nucleotide, EST","1268","http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=145474&lvl=3&lin=f&keep=1&srchmode=1&unlock","helicosporidium.jpg","","2011-10-19 17:33:06.621696","2011-10-19 17:33:06.621696"
"8","Micromonas","micromonas","micromonas.fasta","Micromonas","38832","A collection of sequences from several sources, including GenBank, RefSeq, TPA, PDB, and short single-read transcript sequences from GenBank.","Nucleotide, EST","24184","http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=38832&lvl=3&lin=f&keep=1&srchmode=1&unlock","micromonas.jpg","","2011-10-19 18:00:44.837208","2011-10-19 18:00:44.837208"
"9","Ostreococcus","ostreococcus","ostreococcus.fasta","Ostreococcus","70447","A collection of sequences from several sources, including GenBank, RefSeq, TPA, PDB, and short single-read transcript sequences from GenBank.","Nucleotide, EST","42053","http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=70447&lvl=3&lin=f&keep=1&srchmode=1&unlock","ostreococcus.jpg","","2011-10-19 18:35:47.862429","2011-10-19 18:35:47.862429"
"10","Scenedesmus obliquus","scenedesmus_obliquus","scenedesmus_obliquus.fasta","Scenedesmus obliquus","3088","A collection of sequences from several sources, including GenBank, RefSeq, TPA, PDB, and short single-read transcript sequences from GenBank.","Nucleotide, EST","6687","http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi","scenedesmus_obliquus.jpg","","2011-10-19 18:57:10.696806","2011-10-19 18:58:38.432489"
"11","Volvox carteri","volvox_carteri","volvox_carteri.fasta","Volvox carteri","3067","A collection of sequences from several sources, including GenBank, RefSeq, TPA, PDB, and short single-read transcript sequences from GenBank.","Nucleotide, EST","149525","http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=3067&lvl=3&lin=f&keep=1&srchmode=1&unlock","volvox_carteri.jpg","","2011-10-19 19:38:00.956891","2011-10-19 19:40:40.409372"
